Headline,Galtung's Criteria,Class
Yemen's Houthi rebels say they hit Abu Dhabi's international airport in the United Arab Emirates with a drone attack. It was not immediately clear if there was any damage or casualties.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
It's been nearly a decade since the beginning of an uprising that eventually toppled Muammar Gaddafi. So how did he come into power and rule for 42 years? And what led to his demise?,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"""I don't want the international community to rest until these devils are destroyed."" Grief over apparent killing of Ethiopian Christians by ISIL in Libya turned into violence on the streets of Addis Ababa. Ethiopia has begun 3 days of mourning for the victims.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""His older brother heard about it on Facebook"" Ethiopian families in Addis Ababa are grieving for their loved ones recently killed by ISIL in Libya. A video posted online on Sunday appears to show ISIL fighters in Libya beheading and shooting at least 30 Ethiopian Christians","Focus only on visible effect of violence (killed, wounded and material damage)",War
The boat was carrying 250 people when it sank off the coast of Libya.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"""They sell Africans over there. It's the truth.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
34 asyulm-seekers drowned off the coast of Libya yesterday - most were toddlers.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
118 passengers on board,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"#OnThisDay 8 years ago, Libya's self-proclaimed ""Brother Leader"" Muammar Gaddafi was killed. What led to his downfall?","Focus only on visible effect of violence (killed, wounded and material damage)",War
ISIL releases video purporting to show the beheading of 21 Egyptian Coptic Christians in Libya,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"""Foreign intervention in Arab affairs is one of the major reasons for the current crisis.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Ethiopia has begun three days of mourning, with joint Christian and Muslim prayers, for around 30 Ethiopian Christians believed to have been killed by the Islamic State of Iraq and the Levant (ISIL) in Libya.","Focus only on visible effect of violence (killed, wounded and material damage)",War
ISIL claims massacre of Ethiopian Christians in Libya.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"Hundreds of people have died en route to Europe since the start of 2017, according to the UN. More than 4,500 people died attempting the crossing last year.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""This is not an issue of international terrorism, this is an issue of internal feud that is still ongoing in Libya.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
"In Libya's war, factions use a silent weapon: systematic male rape. Faced with painful memories and lasting injuries from their abuse, the men must also shoulder rape's taboos.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""When our team approached the first dinghy, they saw dead bodies lying at the bottom of the boat in a pool of fuel.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""Sarkozy must first give back the money he took from Libya to finance his electoral campaign.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Muslims who were among migrants trying to get from Libya to Italy in a boat this week threw 12 fellow passengers overboard -- killing them -- because the 12 were Christians, Italian police said.","Focus only on visible effect of violence (killed, wounded and material damage)",War
A dinghy carrying people attempting to reach Europe has sunk off the coast of Libya,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"African states have accused the West of ignoring them and say that, once Muammar Gaddafi was killed, they left Libya to fend for itself.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""There was an escalation on the second and third days with the use of tanks, mortars, and other heavy weapons.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""They stole the motor - something which has happened a few times recently - and at that point the boat started to take on water and sank.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
Fires caused by clashes between ISIL fighters and security forces at Libya's biggest oil ports have spread to five oil storage tanks that are still burning. At least nine troops were killed and more than 40 wounded in two days of heavy fighting,"Focus only on visible effect of violence (killed, wounded and material damage)",War
Two boats carrying about 300 people have capsized off Libya's coast in the 'worst tragedy' of the year. More than 100 migrants and refugees are feared to have drowned.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
Mohamed Ben Khalifa was killed while accompanying a militia patrolling the Qaser Bin Ghashir area south of Tripoli.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"Last year alone, UNICEF documented 214 attacks on schools in Syria, Iraq, Libya, the Palestinian territories, Sudan and Yemen.","Focus only on visible effect of violence (killed, wounded and material damage)",War
The sister of the U.S. ambassador to Libya killed in Benghazi said she doesn't blame Hillary Clinton for her brother's death.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
Fighting between rival groups in Libya's capital has killed at least 96 people since August 26.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
France confirms three soldiers killed following an 'intelligence mission' in Libya,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"Tens of thousands of Ethiopians have marched in a government-supported rally against the killing of Ethiopian Christians in Libya, but some demonstrators directed their anger at the authorities, prompting clashes with the police.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"A rubber dinghy packed with 91 migrants and refugees that set out from Libya with hopes of reaching Europe appears to have gone missing in the Mediterranean, the UN migration agency said.","Focus only on visible effect of violence (killed, wounded and material damage)",War
One of the biggest operations of its kind to date.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"""The soldiers were returning from a military parade. They weren't armed. Most of them were executed.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""We need to strike ISIL everywhere they show up.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
Huge numbers of people still attempting this perilous journey.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"Every year 24,000 people are killed on Thailand's roads - the second highest in the world after Libya.","Focus only on visible effect of violence (killed, wounded and material damage)",War
Palestinian families in the Gaza Strip are in shock and mourning after the Israeli army killed 62 people protesting for their right of return.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
At least 348 Palestinians have been killed by Israeli fire in Gaza since weekly protests began in March 2018.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"According to the United Nations Commission of Inquiry (COI), Israeli soldiers have been deliberately shooting civilians, killing and maiming protesters - including children, as well as journalists and medics.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"A 30-year-old Palestinian man was killed by Israeli fire during protests in Gaza on Friday, Palestinian news agency WAFA reported, citing the Palestinian health ministry.","Focus only on visible effect of violence (killed, wounded and material damage)",War
This video shows Palestinians in Gaza shooting down an Israeli drone moments after it released tear gas,"Focus only on visible effect of violence (killed, wounded and material damage)",War
THE LATEST: At least 22 Palestinians were killed in Israeli air raids since the start of the latest escalation on Tuesday morning.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"One year since the beginning of the 2014 Israeli war on Gaza, which resulted in the deaths of over 2,000 Palestinians, tens of thousands of Palestinians in Gaza are left with huge scars of war. None of the 12,600 homes destroyed a year ago have been rebuilt, leaving up to 100,000 people still displaced, with many of them living in makeshift tents","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Israeli forces kill two Palestinians in Gaza, including 14-year-old.","Focus only on visible effect of violence (killed, wounded and material damage)",War
Israel launches fourth air raid on Palestinian enclave since Wednesday in response to what it calls cross-border fire.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"The sister of Imad Nseir, who was killed in an Israeli air raid, reacts with her hand stained with his blood, during his funeral in the northern Gaza Strip. In Pictures: Gaza-Israel violence intensifies amid invasion fears:","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Since the protests began on March 30, Israeli forces have killed at least 121 Palestinians in the besieged coastal enclave and wounded more than 12,000 people","Focus only on visible effect of violence (killed, wounded and material damage)",War
Israeli tank shelling in the Gaza Strip kills three members of Islamic Jihad.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"A hallmark of the fighting in Gaza this summer was the numerous Israeli strikes on residential buildings, destroying them while their occupants were still inside, Israeli rights group B'Tselem said. [This aspect of the fighting was] the result of a policy formulated by government officials and the senior military command.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"A 14 year old boy, shot in the chest by Israeli sniper fire, was among the six fatalities in Gaza on Friday","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Israeli forces have shot and injured at least 11 Palestinian protesters who staged a general strike in the occupied West Bank, East Jerusalem, and the besieged Gaza Strip in support of hunger-striking Palestinian prisoners in Israeli jails.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Gaza's health ministry spokesperson said Egypt pumped toxic gas into border tunnel, suffocating two men.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"The moment an Israeli soldier shoots a Palestinian in Gaza, in a clip that's since gone viral","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Two other cases involving Palestinian deaths during the 50-day Gaza war have also been dropped, but the army said it was launching a criminal investigation into an attack on a cafe that killed nine people.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"At least 90 people were injured in the protests, 10 of them by live rounds fired by Israeli troops, the Palestinian Ministry of Health said.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Dozens of Palestinians have been injured during clashes with Israeli forces across the occupied West Bank, including East Jerusalem and the besieged Gaza Strip as Palestinian factions call for a ""Day of Rage"".","Focus only on visible effect of violence (killed, wounded and material damage)",War
Palestinians await FIFA decision on Israel suspension - Palestinian players have been killed in the latest Israeli war on Gaza and in confrontations with Israeli forces in the West Bank. Others were injured or detained.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"Al Jazeera Arabic sent us this dispatch from Gaza to mark one year since the 2014 war which claimed the lives 2220 Palestinians, 71 Israelis, and one Thai national. In recently-shot Al Jazeera drone footage, it's clear to see that a serious rebuilding process has yet to begin.","Focus only on visible effect of violence (killed, wounded and material damage)",War
Two Palestinians have been killed in an Israeli air attack near the fence between Gaza and Israel.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"""They raised sheep and were barely making ends meet before they were killed."" - Mohamad Awad, al-Sawarka Bedouin tribe member","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Mosleh, who was shot in the stomach, was one of 50 people at the protest injured by live ammunition.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"The defence ministry announced late on Monday that fuel and gas deliveries will be suspended, while fishing restriction will be reduced from six nautical miles to three.","Focus only on visible effect of violence (killed, wounded and material damage)",War
Hamas fired two rockets after Israel targeted positions in response to alleged launch of incendiary balloons from Gaza.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"Karam Fayyad, 26, was killed east of city of Khan Younis, health ministry spokesman Ashraf al-Qidra said.","Focus only on visible effect of violence (killed, wounded and material damage)",War
Three protesters injured by Israeli forces as demonstrations continue for the third Friday in a row.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"A group calling itself the Omar Brigades has claimed responsibilty for Wednesday's attack, prompting Israeli fighter jets to bomb three empty fields used by Hamas fighters in the southern Gaza strip.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Officials in the Gaza-based Hamas movement and the West Bank-based Palestinian Authority have traded barbs over the deaths, with each accusing the other of bearing the responsibility.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"A Palestinian farmer has been killed and another injured by Israeli artillery fire near Khan Yunis in Gaza, the Palestinian health ministry said.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"There's a large natural gas field just off Gaza's coast. By exploiting it, Yasser Arafat envisioned turning Gaza into a Singapore. Why hasn't it happened?","Focus only on visible effect of violence (killed, wounded and material damage)",War
"UN says war crimes possibly committed by both sides in Gaza. For more on the 2014 war, watch Shujayea: Massacre at Dawn","Focus only on visible effect of violence (killed, wounded and material damage)",War
Truce between Islamic Jihad and Israel came into effect on Thursday morning after 34 Palestinians were killed in raids.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"BREAKING: President Donald J. Trump went to Dover Air Force base to honor Chief Petty Officer William ""Ryan"" Owens who was killed in a raid in Yemen","Focus only on visible effect of violence (killed, wounded and material damage)",War
"A Yemeni schoolboy filmed his fellow students celebrating their graduation from summer school. Within hours, he and most of his classmates were killed by a Saudi-led coalition airstrike","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""Already at the beginning of the year we are facing the largest humanitarian crisis since the creation of the United Nations,"".","Focus only on visible effect of violence (killed, wounded and material damage)",War
Cholera is killing one Yemeni every hour.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"""Scores killed, even more injured, most under the age of 10.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""As many as 250,000 people may lose everything - even their lives.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Dozens of Palestinians, including six children, wounded in an Israeli air raid on the besieged Gaza Strip.","Focus only on visible effect of violence (killed, wounded and material damage)",War
The Palestinian Health Ministry on Saturday said 13-year-old Marwan Barbakh and 15-year-old Omar Othman were shot with live ammunition in eastern Khan Younis in the southern Gaza Strip.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"As shells, bombs and rockets laid waste to Gaza last year, both sides were engaged in a propaganda battle while the civilian death toll continued to rise. The Israeli government repeatedly claimed that Palestinian groups were to blame, accusing them of using women and children as human shields as they fired rockets into Israel. In 'Gaza: Human Shields,' Al Jazeera World speak to civilians, academics and human rights advocates who have accused the Israeli military of employing the tactic as they battled Hamas and explore whether Hamas used residential buildings and civilian areas to launch attacks.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""Over 600 people [have been] killed [in the conflict], but more than half of them are civilians. This is particularly concerning,"" Ivan Simonovic, UN's deputy secretary-general for human rights, told Al Jazeera on Monday.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"At least 50 killed over two days of fighting in Yemen's Taiz, the third largest city, in Dhalea and Lahij governorates.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"At least 22 people, majority of them Indian nationals, are reported to have been killed in air strikes conducted by Saudi-led Arab coalition in eastern Yemen's al-Hodeidah port.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"On same day US strike killed Soleimani in Iraq, a US air strike targeted an Iranian official in Yemen, officials say.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Three people were killed, more than 200 injured, and dozens of houses and hamlets severely damaged or washed away.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"At least 69 people have been killed and 250 others have been wounded by explosions after Arab coalition warplanes hit an arms depot on the outskirts of the Yemeni capital, according to medical officials.","Focus only on visible effect of violence (killed, wounded and material damage)",War
UN warns of imminent Yemen infrastructure collapse; At least 27 killed in the city of Aden,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"UN confirms at least 31 civilians have been killed in Saudi-UAE-led coalition airstrikes in Yemen, after Houthi rebels claimed to have shot down a fighter jet.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"An ICRC spokesman said the death toll now stood at more than 1,700","Focus only on visible effect of violence (killed, wounded and material damage)",War
"The air raids killed Rasmi, his second wife Maryam, 45, and three of his 11 children - three-year-old Salim, Mohannad, 12, and three-month-old Firas.","Focus only on visible effect of violence (killed, wounded and material damage)",War
The two teenage neo-Nazis called for an attack on Prince Harry for marrying a woman of mixed race.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"The white nationalist planned to ""murder innocent civilians on a scale rarely seen in the US,"" prosecutors say.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"The Westminster car crash is being treated as terror attack, London's Met Police say.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Officials release more numbers about about truck attack in New York City, which Mayor Bill de Blasio says ""was an act of terror."" The suspect is 29 years old There are least 8 fatalities At least 11 people have serious but non-life-threatening injuries Live updates:","Focus only on visible effect of violence (killed, wounded and material damage)",War
Raw video: Passengers evacuate from subway cars following a terror attack at the Maalbeek metro station in Brussels.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"""What I would tell the public is this: Do you want to help terrorists? Because if you do, sharing this video is exactly how you do it.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
Senator Chuck Schumer blasts President Donald J. Trump for casting blame on him in the aftermath of a deadly terror attack in New York.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"""USS Mason detected two inbound missiles over a 60-minute period while in the Red Sea off the coast of Yemen. Both missiles impacted the water before reaching the ship.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
Saudi Arabia launches airstrikes in Yemen as part of coalition operation,"Focus only on visible effect of violence (killed, wounded and material damage)",War
Houthi spokesman says 'surprise' push in kingdom's Najran province caused heavy losses to Saudi-led coalition's forces.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"The war in Yemen has destroyed or damaged 1,600 schools over the last 3 years.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Saudi Arabia displays remnants of drones and missiles it says were used in attacks on its oil facilities as ""undeniable"" evidence of Iranian aggression.","Focus only on visible effect of violence (killed, wounded and material damage)",War
Soldiers were queuing to collect their salaries when the suicide bomber detonated his explosives,"Focus only on visible effect of violence (killed, wounded and material damage)",War
A relative said the attack happened while the family slept.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"Rare drone footage captures life amid the rubble the war-torn city of Sanaa, the capital of Yemen","Focus only on visible effect of violence (killed, wounded and material damage)",War
"The UN humanitarian chief has warned that ""millions will die"" over the crisis in Yemen as the country faces severe famine and a Saudi-led blockade.","Focus only on visible effect of violence (killed, wounded and material damage)",War
Video posted to YouTube shows people running to inspect what looks like missile debris beside a highway in Saudi Arabia. The Kingdom said on Sunday it intercepted and destroyed seven missiles fired from Yemen.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"Most of those killed in the attack were children, a spokesperson for the rebel-controlled health ministry said.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"The civil war of 1975-1990 was enough #AJOpinion, by Halim Shebaya.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Hunger is an under-reported story. Yet aid agencies are warning that three countries - Somalia, Yemen and Nigeria - are on the brink of famine.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"At least six civilians, including a child, have been killed and dozens wounded in Saudi-UAE led coalition air raids on residential areas and Houthi rebel military targets in Yemen's capital, Sanaa.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""They forced the men and women outside with their hands tied. We heard the sound of gunfire, and when we came out we saw them all dead in the garden.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Report: Saudi Arabia's border with Yemen attacked forcing authorities to shut down schools, airport","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""Military action from outside of Yemen against its territorial integrity and its people will have no other result than more bloodshed and more deaths.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
The men screamed and wept. Those who resisted were threatened by barking dogs and beaten until they bled.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"""All the victims are civilians.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Houthi rebels say they shot down the aircraft, a British-made Tornado fighter jet.","Focus only on visible effect of violence (killed, wounded and material damage)",War
A report obtained by Al Jazeera reveals the existence of 27 sites used to torture and sexually abuse Yemeni detainees.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"Qasim al-Raymi, who has led Al-Qaeda in the Arabian Peninsula since 2015, was killed in a US operation in Yemen.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""Staggering."" - UN says 21 million Yemenis in need of aid. - 6,000 people have been killed, half of them civilians. - And 700 of those were children.","Focus only on visible effect of violence (killed, wounded and material damage)",War
More than 20 killed by bombardment in northern Yemen. Houthi rebels and the Saudi-UAE led coalition trade blame for the attacks.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
Widespread outrage in Aden after killing of Raafat Danbaa who testified against men accused of raping boy aged seven.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"A Moroccan F-16 warplane taking part in the Arab coalition fighting in Yemen went missing, the Moroccan Royal Armed Forces said in a statement.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"In another major attack, a suicide bomber pledging allegiance to ISIL has killed at least 50 Yemeni soldiers at a military base in the southern city of Aden","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Four soldiers from the United Arab Emirates have been killed in a helicopter crash in Yemen and another three Emirati troops were injured, including a prominent member of the Abu Dhabi royal family.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"The attempted missile strikes is the most serious escalation yet of US involvement in Yemen's civil war. The conflict that has killed an estimated 6,800 people, wounded more than 35,000 and displaced at least three million since an Arab coalition assembled by Saudi Arabia launched military operations last year.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"The Houthi-run Saba news agency reported that at least 48 civilians, including 11 children, were killed in 51 air strikes across Yemen.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Saudi-led coalition launches new air strikes in city of Taiz, as Yemen's Hadi arrives in Riyadh","Focus only on visible effect of violence (killed, wounded and material damage)",War
"This is the second outbreak of cholera in less than a year in Yemen, the Arab world's poorest country.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"As civilian death toll climbs, Yemeni President Hadi says air strikes against Houthis won't stop until they surrender","Focus only on visible effect of violence (killed, wounded and material damage)",War
Major-General Jaafar Mohammed Saad has been killed in an attack along with six of his bodyguards,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"Last year alone, UNICEF documented 214 attacks on schools in Syria, Iraq, Libya, the Palestinian territories, Sudan and Yemen.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""The government owes my son an investigation."" the father of the Navy SEAL killed in a late-January raid in Yemen, leveled biting criticism at the White House.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Three Saudi officers have been killed and two others wounded after Houthi fighters in Yemen fired a mortar round at a Saudi border post, according to Saudi Arabia's Defence Ministry.The Saudi forces responded with gunfire, the ministry's statement said.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""Since his appointment as crown prince, the final death sentences of protesters, including a number who were children at the time, have been confirmed amid serious allegations of torture and an unprecedented number of executions.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
"UAE-backed forces fighting on behalf of the Saudi-led coalition in Yemen have kidnapped hundreds of men, according to relatives and local human-rights activists.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"The announcement and the leaks from the Pentagon were straight out of their usual playbook. On the record, officials said the ship was going. Then came the off the record, not for attribution reporting. Unnamed defence sources told reporters the ships were going in order to â€œintercept potential shipments of Iranian weapons to the rebelsâ€.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""In 1,000 days, Yemen has become a land of blood and bombs. This place is hell on earth.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
"The year 2018 is about to end with seemingly little having been achieved to resolve major crises around the world. The crises in Cameroon, Yemen and the DRC are likely to deteriorate further in 2019, with millions being at risk of displacement and starvation #AJOpinion, by Jan Egeland.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"At least 10,000 civilians have been killed since the beginning of the Saudi-led war in Yemen.","Focus only on visible effect of violence (killed, wounded and material damage)",War
The missile attack would be the longest range attempted by the Houthi rebels since they began retaliatory attacks against the kingdom two years ago.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"Iran's Rouhani criticises Saudis over Yemen strikes; Says air strikes sowing ""seeds of hatred""","Focus only on visible effect of violence (killed, wounded and material damage)",War
"Warplanes from a Saudi-led coalition have continued bombing of Houthi targets in Yemen for a second night, including the Shia rebel group's stronghold of Saada, as embattled President Abd-Rabbu Mansour Hadi arrived in Riyadh.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"The United Nations High Commissioner for Human Rights said the Saudi-led coalition was ""responsible for twice as many civilian casualties as all other forces put together"".","Focus only on visible effect of violence (killed, wounded and material damage)",War
"U.S. Senator Bernie Sanders blamed the tens of thousands of deaths, starvation and cholera crisis in Yemen on ""a despotic, dishonest dictatorship.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
"There were no military targets in the area that was hit, the UN says.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""The Saudi-led coalition's repeated promises to conduct its air strikes lawfully are not sparing Yemeni children from unlawful attacks.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
Calls for the suspension of arms sales to Saudi Arabia have mounted since the killing of Saudi journalist Jamal Khashoggi and amid concerns over the kingdom's role in the Yemen conflict.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
The UN Security Council is set to hold a special meeting to discuss the spate of violence between Israelis and Palestinians in which 39 people have been killed over the past two weeks.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"""The findings of our security forces point at the Daesh organisation as the perpetrators of this terror attack.""","Focus only on visible effect of violence (killed, wounded and material damage)",War
"According to figures from the International Organisation for Migration (IOM), since the Saudi Arabia-led coalition's campaign on Yemen began, over 18,000 persons have fled Yemen to the Horn of Africa. A third of those are arriving in Somaliland and Puntland, a semi-autonomous north eastern Somali region.","Focus only on visible effect of violence (killed, wounded and material damage)",War
Yemen's Houthis claimed responsibility for drone attacks that targeted facilities in Abqaiq and Khurais.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"""Our situation is disastrous, we have only God's help"" Malnutrition and cholera add to Yemen woes - in pictures:","Focus only on visible effect of violence (killed, wounded and material damage)",War
At least six loud blasts were heard and bright flashes were seen in the sky over the Saudi capital.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"A suspected air strike has killed at least 13 people at a wedding party in a Houthi-held town in Yemen, witnesses say, the second alleged Arab coalition strike on a wedding party in just over a week.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""The situation in Taiz is dramatic and will only get worse in the coming weeks if no efforts are made to spare civilians from the violence"" - MSF official in Yemen","Focus only on visible effect of violence (killed, wounded and material damage)",War
"The Saudi-led coalition in Yemen used precision-guided munition made by the United States in a June air strike that killed six people including children, a new report by Amnesty International said.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"It has been 10 years since Israel launched its massive offensive on the Gaza Strip, which sparked global outrage as the world's fifth strongest army pounded the tiny blockaded enclave and its 1.6 million residents.","Focus only on visible effect of violence (killed, wounded and material damage)",War
Palestinian Health Ministry Spokesman Ashraf al-Qudra said that three bodies had arrived to the Al-Andalusi hospital in the Gaza Strip.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"At least 289 Palestinians - men, women and children - were killed throughout 2018.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"The UN's top human rights official, Navi Pillay, has condemned Israel's military actions in the Gaza Strip, saying that war crimes may have been committed. She also condemned Hamas for ""indiscriminate attacks"" on Israel.At least 649 Palestinians and 31 Israelis have been killed in the past 15 days of fighting, officials say.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"A year and a half after Israel's last war on Gaza, the humanitarian crisis continues to grow.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""You learn [Palestinians] are more than just a number,"" said the creator of the website, Humanize Palestine, to The Stream The project attempts to put a name and personal story to those killed during the Israeli offensive in #Gaza, and violence in the West Bank and East Jerusalem.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""We are arguing that this US-flagged vessel is the United States and therefore the injuries inflicted by the Israeli Defence Forces on the ship were inflicted in the United States,"" Steven Schneebaum, US Counsel for the plaintiffs, said.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"""I ran inside screaming hoping to save my family. I found my wife, Amani, who was pregnant in her ninth month bleeding under the rubble. She was killed by shrapnel in her belly."" -Ahmad al-Madhoun, Gaza resident","Focus only on visible effect of violence (killed, wounded and material damage)",War
Military says planes attacked 'underground infrastructure' after air defences intercepted a rocket launched from Gaza.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
How Israel's blockade is souring Gaza's strawberry harvest.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"The Israeli military has attacked two Hamas positions in the Gaza Strip with tank shelling and air strikes after rockets launched from Gaza struck Israel, according to Israeli news media.","Focus only on visible effect of violence (killed, wounded and material damage)",War
"According to eyewitnesses, Hussein, a photographer for the Gaza-based Voice of the People radio station, was wearing a protective vest marked ""PRESS"" at the time he was shot.","Focus only on visible effect of violence (killed, wounded and material damage)",War
The Israeli military says its aircraft had targeted Hamas infrastructure in the southern Gaza Strip.,"Focus only on visible effect of violence (killed, wounded and material damage)",War
"Ashraf al-Qedra, Gaza's health ministry spokesperson, said in a statement the two men were ""martyred and five other people were wounded as a result of being targeted by an Israeli warplane along the Palestinian-Egyptian borders"".","Focus only on visible effect of violence (killed, wounded and material damage)",War
