Headline,Class
"""This is completely out of the question. We will not give up the city of Aleppo to the Russians and we won't surrender."" http://aje.io/qh6h:=:http://www.aljazeera.com/news/2016/11/rebels-reject-russian-demand-leave-syria-aleppo-161102161526242.html",Peace
"At least 640,200 Syrians are living in areas under long term siege in the country's raging war, a report released by the Syrian-American Medical Society (SAMS) says - more than three times the estimate of the UN. http://aje.io/bqsf:=:http://trib.al/0HapMnD",Peace
What are the long-term implications of the assassination? And how does the death of the diplomat affect the war in Syria?,Peace
"The summit brought together top lawmakers of Iraq's six neighbours: Syria, Saudi Arabia, Iran, Turkey, Jordan, and Kuwait.",Peace
The United Nations has warned that sabotaging water supplies is a war crime after the main source for Syria's capital was cut leaving millions of people facing shortages.,Peace
"The CIA and Israel's spy agency Mossad were behind an elaborate plot to kill Hezbollah commander Imad Mughniyeh in a 2008 car bomb attack in Syria, the Washington Post has reported. http://aje.io/pwse:=:http://trib.al/8uqCyR8",Peace
"UK planes will be deployed ""very quickly"" as MPs back air strikes against IS in Syria. Full story: bbc.in/1PwYnFW. Live updates: bbc.in/1HGu50X",Peace
"""How can people go and sit a table with a regime that bombs hospitals, drops chlorine gas again and again and again and again, and acts with impunity?"" http://aje.io/6zl3:=:http://www.aljazeera.com/news/2016/09/syria-war-raids-hit-aleppo-holds-crisis-talks-160921140335734.html",Peace
Trump and Putin vow to cooperate in ISIL fight and on Syria; Also discuss 'Ukraine crisis' http://aje.io/55ur:=:http://www.aljazeera.com/news/2017/01/trump-putin-isil-170129052128631.html,Peace
"Mass executions were authorised at the highest levels of the Syrian government, Amnesty International says. The government has previously denied killing or mistreating detainees.",Peace
The US has sent armoured vehicles to anti-IS fighters in Syria for the first time. Now they want tanks.,Peace
Interior minister says about 700 citizens have travelled to Syria and Iraq to fight alongside ISIL since 2012 http://aje.io/e2ke:=:http://www.aljazeera.com/news/2015/08/berlin-100-germans-killed-fighting-isil-150823143624855.html,Peace
Darkness engulfs a city. This is Aleppo in Syria from 2012 to 2017 as the electricity network is destroyed. This is what can be seen from space. (Credit: NASA - National Aeronautics and Space Administration) #SyriafromSpace Find out more: bbc.in/2pKAqoA:=:http://www.bbc.co.uk/news/resources/idt-sh/syria_from_space_english,Peace
"""With the US we have an extradition agreement. The US should hand this man to us.""",Peace
"""It's hard to look into a little girl's eyes who has lost a leg and a brother and tell her it will be okay. To meet a brave, smiling five-year old who lost her vision to a sniper's bullet. To stare into the eyes of a man who lost his family and both his legs. To meet doctors and engineers and students and barbers and lawyers who live in perpetual limbo of the shadow of a war which has no end in sight."" A reporter reflects. http://aje.io/z28h:=:http://www.aljazeera.com/blogs/middleeast/2016/12/bombs-rain-syria-hope-future-161207082654360.html",Peace
The news comes as at least one US guided-missile destroyer set off to the coast of Syria after Trump stated the possibility of a military response.,Peace
"Women's killing prompted Philippine President Rodrigo Duterte to ban the further deployment of Filipino workers to Kuwait, triggering diplomatic tensions.",Peace
"The Islamic State's five-year ""caliphate"" is over after the militants were defeated in Syria, US-backed Syrian Democratic Forces say.",Peace
"""No, the US has not suddenly become an ally of Iran. But yes, Washington is most probably coordinating with Iran its efforts in Iraq (albeit uncannily) and perhaps in Yemen and Syria,"" writes Marwan Bishara http://aje.io/dpp6:=:http://www.aljazeera.com/indepth/opinion/2015/05/middle-east-conspiracy-collusion-150513110558970.html",Peace
"Opinion: ""The US' inability to block Russia's new strategy is also because, in private, considerable parts of the security and intelligence communities in Washington and other Western capitals essentially agree with Russian analyses: that the moderate Syrian opposition is not developing as a serious military force."" Anatol Lieven, a professor at Georgetown University in Qatar and a visiting professor at King's College London, writes for Al Jazeera.",Peace
Volunteer search and rescue group Syria Civil Defense described al-Dyab as a hero and activist who spent years documenting the horrors Syrians faced at the hands of Bashar al-Assad's regime and Russian forces,Peace
"Al-Qaeda-linked Nusra Front blows up 800-year-old mausoleum of leading Islamic scholar, Imam Nawawi, in Deraa province http://aje.io/d743:=:http://trib.al/ojBtRzI",Peace
"Syria is ready to meet with the country's opposition in Moscow in an effort to find a way out of the nearly four-year civil war, a government official has said. http://aje.io/yara:=:http://trib.al/5hMJfxc",Peace
"A US fighter jet has shot down a Syrian government plane in Syria's Raqqa province, officials from both sides have said.",Peace
"Russian planes attack targets near the city of Homs, US officials say",Peace
"""Our iron fist is prepared to deliver a decisive and crushing response to any wickedness and mischief of the enemies,"" Iran's Revolutionary Guard said in a statement.",Peace
"In a continuing war of words, Benjamin Netanyahu has described Israel's most significant aerial assault in Syria in decades as a serious blow to Syria and Iran.",Peace
Footage released by the U.S. Department of Defense (DoD) shows missile launches against targets in Syria. Follow live updates: http://bbc.in/2oHFARl:=:http://www.bbc.co.uk/news/live/world-us-canada-39521332?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,Peace
"""There are lots of people standing around this wreckage and the body of a man being dragged away with various bits of documentation and ID being displayed.""",Peace
"Civilians in Syria's Aleppo are undergoing enormous suffering because of deliberate cuts to water and electricity supplies, the International Committee of the Red Cross (ICRC) has said. http://aje.io/k9v7:=:http://www.aljazeera.com/news/2015/09/red-cross-water-weapon-war-syria-150902114347090.html",Peace
"""The Americans' refusal to coordinate their anti-terrorist campaign with us is a big mistake. We are seriously prepared for such a coordination. We are ready to give air support to the patriotic opposition, including the so-called Free Syrian Army.""",Peace
"Syrian state news agency cited a foreign ministry source as saying Trump's statement showed ""the blind bias of the United States"" towards Israel.",Peace
"""When they arrive, they are children. By the time they leave, they are killing machines"" Read more: http://aje.io/ukk2:=:http://www.aljazeera.com/indepth/inpictures/2015/07/magazine-syria-school-war-150708080816418.html",Peace
"India is ranked ahead of Afghanistan, Syria and Saudi Arabia.",Peace
"In an IDP camp in northern Syria, 10-year-old Ghadir wakes up early every morning to sell bread. She hopes to one day return to her familyâ€™s home, where she lived before the war.",Peace
Turkish president also says offensive will continue until all Kurdish forces leave the region.,Peace
"Nasrallah has called on his critics in Lebanon to back his intervention across the border, warning that their support for Assad's opponents would not save them from ISIL. ""Today we are facing a kind of danger that is unprecedented in history, which targets humanity itself,"" he said.",Peace
"At least 63 people, included nine children, killed in air strikes believed to have been carried out by Russian warplanes in Syria's Khasam town - monitoring group http://aje.io/2xsv:=:http://www.aljazeera.com/news/2016/01/scores-die-suspected-russian-strikes-syria-east-160124093110994.html",Peace
"Turkish forces and Syrian rebel allies will cross the Syrian border ""shortly"", President Recep Tayyip Erdogan's communications director said, as Turkey looks to begin a military intervention against Kurdish-led forces in northeast Syria.",Peace
"""If Russia is to continue with its air strikes against ISIL near the Turkish-Syrian border, some violations of Turkey's airspace will be inevitable, Buyukakinci said, and as a result, ""Turkey needs to come to an understanding with Russia regarding this issue"".""",Peace
Turkish president says his forces would go back on attack in four days unless Kurdish forces withdraw from 'safe zone'.,Peace
"Russia and the Syrian government have killed at least 110 civilians over the past 48 hours in Eastern Ghouta, a suburb of the capital Damascus, according to residents and monitoring groups.",Peace
"According to the Syrian Network for Human Rights, more than 65,000 people have vanished in Syria since 2011.",Peace
"The Syrian army has collapsed and ISIL has taken over the ancient city of Palmyra, the UK-based Syrian Observatory for Human Rights and activists reported.",Peace
"At least 11 civilians have died, and tens of thousands of people have fled their homes.",Peace
"""The fundamental aim in the latest operation [of the strikes on Jarablus and Manbij] is to open a corridor for moderate rebels."" - Turkish official",Peace
"ISIL fighters in Palmyra ""entered the museum and broke some plaster statues"" Syria's antiquites director said.",Peace
"IHH said via Twitter on Monday that the bakery, which was established 16 months ago, provided daily bread for nearly 45,000 internally displaced Syrians.",Peace
"The situation in the rebel-held enclave of the Eastern Ghouta in Syria is ""beyond imagination"", the United Nations says.",Peace
"""A political solution to the Syrian crisis is the most suitable way...""",Peace
"There is a deal for Aleppo, despite ongoing heavy fighting, Associated Press reports.",Peace
"""We announce the start of a new phase to liberate all of Aleppo. We will not rest until we raise the flag of the conquest over Aleppo's citadel.""",Peace
"Russia is not only demonstrating long-range firepower delivery capabilities, but also that it can successfully deploy a high-end warfighting capability which has become synonymous with US-led shock and awe campaigns. http://aje.io/7fwb:=:http://www.aljazeera.com/news/2015/10/analysis-russia-flexing-missiles-syria-151007184604543.html",Peace
"""I love you"", Bana Alabed from Syria told the Turkish leader.",Peace
Who controls what after seven years of fighting in Syria.,Peace
"Turkish President Erdogan says he will meet with the leaders of Russia, France and Germany in March to discuss the situation in Idlib, Syria.",Peace
"There is a ""high degree of certainty"" that IS militant Mohammed Emwazi was killed near Raqqa in Syria",Peace
"""Could be very soon or not so soon at all!""",Peace
"The US conducted air attacks in Iraq and Syria against the pro-Iran Kataib Hezbollah armed group, killing at least 27 fighters.",Peace
LIVE: Turkish President Erdogan holds news conference about Turkey-Syria military operation. For all the latest updates: https://aje.io/9w7dw:=:https://www.aljazeera.com/news/2019/10/18/turkeys-military-operation-in-syria-all-the-latest-updates-7,Peace
"""This illegal action seriously damages the prospects for a political settlement in Syria.""",Peace
"BREAKING NEWS: GOP Sen. John McCain says congressional rejection of a resolution authorizing U.S. military force in Syria would be ""catastrophic."" http://on.cnn.com/QZYZDc",Peace
"""People feel fear, angry, hopeless, helpless. We live day by day... We don't think about tomorrow.""",Peace
"JUST IN: President Trump calls the suspected chemical attack in Syria ""atrocious"" and says, ""we'll be making some major decisions over the next 24 to 48 hours"" https://cnn.it/2v4MMuM:=:https://www.cnn.com/2018/04/09/politics/donald-trump-syria-attack/index.html?sr=fbCNN040918donald-trump-syria-attack1216PMVODtop",Peace
"""Countries that are in the area, some of which are immensely wealthy, would not be there except for the United States, and to a lesser extent France,"" Trump said.",Peace
Only one Syrian national has been granted refugee status in Russia since the Syrian war started in 2011.,Peace
1. What is the objective of the attacks? 2. How many missiles were fired? 3. What types of missiles were fired? 4. What were the targets? 5. What is Russia's response?,Peace
"Questions have been raised over the future of US-Russian ties after Washington launched a barrage of tomahawk missiles against an airbase in Syria, where Russia's military is on the ground propping up its ally, President Bashar al-Assad. US Secretary of State Rex Tillerson will next week make the first visit to Russia by a Trump administration official, just days after the US strike on Shayrat airfield in Homs. The attack, as well as multiple Russia-related investigations in the US, will follow Tillerson's trip, which was designed to test the Trump administration's hopes for closer ties to its former Cold War foe.",Peace
"""The Israelis are using Iran as a scapegoat ... to be able to carry out attacks on regional countries and justify the continued subjugation of the Palestinian people.""",Peace
"""Next year we'll be celebrating the 60th anniversary of the Hungarian uprising and one has to recall that in the first nine weeks, 164,000 Hungarians fled Hungary to the neighboring states, principally Austria and Yugoslavia; eventually 200,000 Hungarians were settled in 37 countries, and how can it be, 60 years later that the political leadership in Hungary seems to have forgotten this?""",Peace
People and Power investigates the horrifying consequences for civilians under Russian air strikes in Syria.,Peace
"Russia says it is targeting the Islamic State of Iraq and the Levant (ISIL) group, but at least some of its air strikes have reportedly hit Western-backed armed groups. This is the first news of Russia using its navy in its Syria campaign since it began building up its military forces in Syria.",Peace
"""An appropriate response to the barbaric chemical attack by the Syrian regime."" More #SyriaStrikes updates: http://bbc.in/2oLu72y:=:http://www.bbc.co.uk/news/live/world-us-canada-39521332?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook",Peace
"Opinion: ""when governments go into war...the ""collateral damage"" of citizens is not represented"" John Tulloch, a British university lecturer and survivor of the July 7, 2005 London Bombings, writes for Al Jazeera.",Peace
"""This is the beginning of the end of Daesh [ISIL]. Those who have bet the FSA had been decimated are now proven wrong. It's a victory for the Free Syrian Army."" http://aje.io/gjmj:=:http://www.aljazeera.com/news/2016/04/syrian-rebels-capture-key-isil-town-north-aleppo-160409143203623.html",Peace
"To some Iranian analysts, the air strikes in Syria reflected the ""hypocrisy"" and ""duplicity"" of American foreign policy.",Peace
"""My journey from Syria to Bulgaria was difficult and painful. It was fraught with humiliation, torment, oppression and exhaustion.""",Peace
An international convention banning the use of cluster munitions due to their indiscriminate impact came into force in 2010.,Peace
"The Syrian Democratic Forces was founded in Syria's mainly Kurdish northeastern region in October, and is made up of at least 15 armed factions, mostly fighters from the Kurdish People's Protection Units and the Free Syrian Army. The fighters include Christians, Arabs and around 500 foreign fighters, the SDF spokesman says.",Peace
"For the first time in four years, hope appears to have returned for thousands of ethnically Arab Syrians who believe a Turkish operation in northeast Syria will grant them safe access to the stretch of territory they claim as their own.",Peace
"""This toxic chemical contained reactive chlorine. The toxic chemical was likely molecular chlorine,"" the OPCW said.",Peace
"""Now the number of Iran's martyrs as defenders of the shrine has exceeded 1,000."" http://aje.io/u53n:=:http://www.aljazeera.com/news/2016/11/iran-1000-soldiers-die-syria-2011-161122132955852.html",Peace
"The Kremlin said it spent almost $500m on its military operation in Syria, but Moscow could earn a lot more after the world saw Russia-made weapons, old and new, battle-tested by the Russian air force and Syria's military on the ground http://aje.io/c22c:=:http://www.aljazeera.com/news/2016/04/syria-war-showroom-russian-arms-sales-160406135130398.html",Peace
"Since its association with the Assad regime in Syria, Arab countries have joined a chorus of disapproval against Hezbollah",Peace
"""This deliberate manipulation by the Syrian government and the complacency of the UN have played hand-in-hand."" http://aje.io/ml54:=:http://www.aljazeera.com/news/2016/09/syria-war-aid-agencies-suspend-cooperation-160908164810695.html",Peace
The two leaders unveiled a 10-point memorandum of understanding with an unstated bottom line: The Americans do not have a place in shaping the future of Syria | Analysis by Nathan Hodge,Peace
"""Anarchism"", ""smashing gender binary"", and ""sexual revolution"" are all connected to the most selling hegemonic narrative of the 21st century: the ""war on terror"", writes Razan Ghazzawi.",Peace
What about the people who remain in Syria? One woman living in Damascus describes what life is like,Peace
"ISIL's spokesman has been killed in the Syrian province of Aleppo, according to an ISIL-linked website.",Peace
"BREAKING NEWS: The Arab League called Sunday for the United Nations Security Council ""to assume its responsibility and take all the deterrent and needed measures against this crime and all crimes of genocide"" in Syria, Arab League Secretary General Nabil el-Araby said in a Twitter post, referring to alleged chemical weapons use there last month. http://on.cnn.com/QZYZDc",Peace
"Under the new guidelines, which were leaked to the press and have yet to be confirmed, new visa applicants from Syria, Sudan, Somalia, Libya, Iran and Yemen and all refugees must prove a relationship to a ""close"" relative already in the US to be eligible for a US visa.",Peace
LIVE: Turkish President Erdogan speaks on Turkey's military operation in northeast Syria. Here are the latest updates: https://aje.io/kjvdl:=:https://www.aljazeera.com/news/2019/10/11/turkeys-military-operation-in-syria-all-the-latest-updates,Peace
"Nearly 400,000 civilians are trapped as Syria's government and its allies pound the besieged suburb of Damascus with air raids and artillery.",Peace
The suggestion that the US administration was suddenly moved to action because of images of dead Syrians is preposterous.,Peace
"Iran's National Security Council Ali Shamkhani said the Israeli attacks violated Syria's territorial integrity and were ""unacceptable"".",Peace
"""The Syrian armed forces do not have chemical weapons and have no plans to use them. There is no military need for that.""",Peace
"BREAKING: Major suicide attack in Syria's capital, deaths reported.",Peace
"For Russia, the Iranian commander's death means a fresh set of opportunities in Syria, Iraq and beyond â€” #AJOpinion, by Anton Mardasov.",Peace
"US will not pull its troops out of Syria until Washington's goals are accomplished, Nikki Haley, the US Ambassador to the United Nations said.",Peace
Is Turkey sending Russia a warning about its actions in Syria? And how will this incident affect ongoing efforts to reach a political solution in the country?,Peace
"Al Jazeera's Mohammed Adow reports from northwestern Iraq, where Kurdish forces have recaptured villages from ISIL and opened a corridor for thousands of minority Yazidis to escape Mount Sinjar. http://aje.io/92wp",Peace
Two Turkish soldiers have been killed and two others wounded in an air strike in Syria's northwestern province of Idlib as Turkey-backed Syrian rebels regained a key town during heavy fighting.,Peace
The people fleeing the end of the Islamic State in Syria. bbc.in/2Espq3o:=:https://www.bbc.co.uk/news/world-middle-east-47415554,Peace
"Aid workers and activists warn of an ""unprecedented catastrophe"" unfolding in northwest Syria.",Peace
"""The Jarablus operation may be against ISIL, but its main aim is to make sure the border zone is controlled by Turkey-friendly rebels and not Kurdish forces.""",Peace
Syria: More than 20 civilians killed and dozens more wounded http://aje.io/k34y:=:http://www.aljazeera.com/news/2016/07/syria-civil-war-air-raids-kill-civilians-aleppo-160725140914109.html,Peace
"""The winds of war are blowing in our world and an outdated model of development continues to produce human, societal and environmental decline.""",Peace
"On Thursday, President Obama declared in an interview that #ISIS had been ""contained,"" asserting that the terror cell had been stalled in Iraq and Syria.",Peace
"""I didn't believe it. ... I thought, obviously this was some untruth."" Rep. Adam Kinzinger on President Donald J. Trump ordering the rapid withdrawal of US military from Syria. ""The President ran saying he was going to defeat ISIS; ISIS isn't defeated,"" says Kinzinger, adding that he believes the President's decision will ""double or triple the size of ISIS, probably overnight.""",Peace
"The fate of those on board is still unclear, but a US official told CNN that Syrian government forces had mistakenly shot down the Il-20 plane during the Israeli attack.",Peace
"""Daesh knows there's a financial upside of this activity and they are trying to gain from it. We know also that parties in the conflict are selling to certain dealers and to private collectors and to market end buyers."" http://aje.io/x2w3:=:http://www.aljazeera.com/news/2015/07/isil-looting-heritage-sites-syria-iraq-palmyra-150703010527634.html",Peace
The attack comes on the same day Turkey said it is no longer 'realistic' to exclude Assad from a solution.,Peace
"Some draw tanks and bloodshed, others draw rainbows and flowers.",Peace
"One shell in Syria can change a life forever. Meet the Syrian girls who say they just want to be ""beautiful"" again: bbc.in/2qPPJ05:=:http://www.bbc.co.uk/news/av/world-middle-east-42627451/syria-shelling-they-used-to-tell-me-i-was-beautiful?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook",Peace
The leaders agreed there was no military solution to the conflict in Syria and called on all parties to take part in the Geneva process.,Peace
"""I missed my parents, my whole family is still there. I was all alone here.""",Peace
"This freelance journalist is called ""The Son of War"" for risking his life to report on Syria and Gaza. (via AJ+)",Peace
"Dean Carl Evans, 22, from Reading, died on 21 July during fighting in the city of Manbij, Kurdish reports suggest.",Peace
"On #InternationalCatDay ðŸ± we revisit the story of Aleppoâ€™s â€˜cat manâ€™, who is still a â€˜pawsitiveâ€™ force in Syria today.",Peace
"Mohammed Haydar Zammar, a Syrian-born German national, was previously questioned by German police following the September 11 attacks, in which at least 3,000 people were killed.",Peace
"Sen. John McCain said the Trump administration's decision to no longer prioritize ending the Syrian civil war is ""another disgraceful chapter in American history.""",Peace
"The UN was formed after World War II in an effort to stop future conflicts. Nowadays, it looks outpaced by all-out wars and volatile front-lines from South Sudan to Ukraine and the Central African Republic. But it is anger over the war in Syria - with its 250,000 fatalities and 11 million refugees - that has provoked the most criticism of the UN and questions over whether its top body, the Security Council, is fit for purpose.",Peace
"Breaking: More than 100 dead, monitor says, as multiple car bombs and suicide hit Assad territory in Syria.",Peace
"""Before the outbreak of conflict in Syria, the country commanded a 99 percent enrolment in primary school education."" - Adel Abdel Ghafar & Fraus Masri, Brookings Centre Doha",Peace
"Turkish Prime Minister Ahmet Davutoglu condemned reported Russian air strikes that killed dozens of Syrian civilians in a rebel-held city and said Syria will not be part of ""Russian imperialist goals"" http://aje.io/jcqk:=:http://www.aljazeera.com/news/2015/12/turkey-slams-russian-attack-syria-rebel-held-idlib-151222144014240.html",Peace
"These two brothers in Syria's war-torn Idlib used to work at a graveyard to make a living. Now, they're back in school.",Peace
"Israel's army says it hit dozens of Iranian military targets in Syria overnight, and accuses Iran of launching a rocket-and-missile attack on its forces in the occupied Golan Heights. Here is a map showing who controls what in Syria after seven years of fighting.",Peace
"The deal excludes the Islamic State of Iraq and the Levant (ISIL) group and the al-Nusra Front, which are listed as terrorist groups by the UN Security Council.",Peace
"The US has screened some 12 hundred so-called â€˜moderateâ€™ rebels to be trained and equipped to battle ISIL in Syria. But how will the new policy affect the fight against Syrian president Bashar al-Assad? Four years into the conflict, what are the US priorities in Syria, and where do its international allies stand? http://aje.io/xf2m:=:http://trib.al/vGAcYkF",Peace
"Former CIA operative Robert Baer reacts to President Donald J. Trump's decision to pull US troops out of Syria. â€œFrankly, itâ€™s one of the dumbest things Iâ€™ve ever seen because this is the most successful counterinsurgency program weâ€™ve run in decades. Why you would take these troops out that are doing so well? ...I donâ€™t understand."" https://cnn.it/2RdmVuv:=:https://www.cnn.com/2018/12/26/politics/donald-trump-iraq-visit/index.html",Peace
"A 2001 Amnesty International report, based on the accounts of former inmates, described the prison as ""designed to inflict the maximum suffering, humiliation and fear on prisoners"". http://aje.io/s9wj:=:http://www.aljazeera.com/news/2015/05/isil-syria-palmyra-prison-150530233411592.html",Peace
"On Inside Story: A month into its air strike campaign in Syria, the Kremlin is proposing new presidential and parliamentary elections. With Moscow apparently calling the shots in Damascus, isn't the call premature? And could it lead to a political settlement?",Peace
"The government said the legal basis for extending air operations into Syria was the collective self-defence of Iraq as ISIL did not respect national borders. ""We are exercising the right to collective self-defence under Article 51 of the UN charter in striking Daesh (ISIL) in Syria,"" Abbott said, adding that the focus of the campaign would be on ISIL, and not the Assad government.",Peace
The plan opens the possibility of a safe haven for tens of thousands of displaced Syrians but also sets up a potential conflict with Syrian Kurds' YPG forces in the area. http://aje.io/yhad:=:http://www.aljazeera.com/news/2015/07/turkey-agree-create-isil-free-zone-syria-150728014436631.html,Peace
ISIL fighters recover ground near the armed group's de facto capital two days after it was pummelled in heavy US-led air strikes. http://aje.io/797w:=:http://www.aljazeera.com/news/2015/07/isil-recaptures-town-ypg-forces-syria-raqqa-150706094342136.html,Peace
"â€œHelp us,â€ begs a doctor in a hospital thatâ€™s been bombed multiple times, â€œWeâ€™re human beings.â€ In Idlib, the last rebel stronghold in Syria, hospitals, markets and schools have been systematically targeted. CNNâ€™s Arwa Damon takes us inside the besieged city to meet children, mothers, farmers and others who are struggling to stay alive. https://cnn.it/2GYETdN:=:https://www.cnn.com/specials/middleeast/syria?utm_medium=social&utm_source=fbCNN&utm_content=2019-08-09T18:06:05",Peace
"""Some people skydive, some people race cars, and some people like to fight.""",Peace
"""We have seen movement of people and things that would indicate that [the Russians] plan to use [Syria's Latakia] base"" - Pentagon spokesman http://aje.io/d3ph:=:http://www.aljazeera.com/news/2015/09/russia-expanding-support-syria-assad-150915021047477.html",Peace
"""Let the other people take care of it now.""",Peace
Ankara believes the YPG has another agenda apart from fighting ISIL. President Erdogan has accused the Kurds of wanting to capture the border crossing in Jarablous to link its territories and eventually declare a state. http://aje.io/7yfs:=:http://www.aljazeera.com/blogs/middleeast/2015/07/turkey-kurds-syria-150701215140659.html,Peace
Yousef al-Khabaz's case is one of many stories of Syrians trapped in Idlib province.,Peace
Saudi air force deployment in Turkey has important implications for the way in which coalition aircraft operate over northern Syria. http://aje.io/j3dk:=:http://www.aljazeera.com/news/2016/02/saudi-jets-change-balance-power-syria-160214181933767.html,Peace
The Ministry of Defence has confirmed. >> Live coverage here: http://bbc.in/1XAvwoy:=:http://www.bbc.co.uk/news/live/uk-politics-34961844?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,Peace
"â€œOn balance, this is a tragic day for the United States.â€ Democratic Sen. Chris Coons urges President Trump to reverse his decision to pull US forces out of northern Syria. https://t.co/SAbovV2A41:=:https://www.cnn.com/2019/10/14/politics/donald-trump-turkey-kurds-isis-prisoners-fact-check/index.html",Peace
"Civilians trapped in a Palestinian refugee camp in Syria's capital have fled to safer areas amid intense shelling and clashes between Palestinian armed factions and the Islamic State of Iraq and the Levant (ISIL) fighters who took over most of the camp, Syrian activists said. http://aje.io/hynm:=:http://trib.al/OPRdDYA",Peace
"""In Damascus and its countryside... for the first time in years, calm prevails.""",Peace
Muslim charities say British banking regulations prevent them from sending donations to Gaza and Syria. http://aje.io/bhca:=:http://trib.al/Fd6GqD5,Peace
"At least 58 people have been killed in a suspected chemical attack on a rebel-held town in Syria, according to a monitoring group.",Peace
Living in a refugee camp doesn't stop these Syrian kids from having big dreams.,Peace
"Russia and Turkey are on opposite sides in the war in Syria, but have largely steered clear of each other. That all changed on Tuesday, when Turkey shot down a Russian fighter jet. How will this latest development impact the war in Syria? http://aje.io/7lfl:=:http://www.aljazeera.com/programmes/insidestory/2015/11/turkey-russia-resolve-dispute-151129195426082.html",Peace
"""It is clear to us the reign of the Assad family is coming to an end."" http://aje.io/l8ek:=:http://www.aljazeera.com/news/2017/04/russia-abandon-syria-president-bashar-al-assad-170411110327774.html",Peace
"""What happens to my freedom to travel and freedom of the press?"" A wary Japan has seized the passport of a journalist planning to travel to Syria after the killing of two Japanese hostages by ISIL. http://aje.io/zjn5:=:http://trib.al/EfeLZTn",Peace
"The findings provide the first official confirmation of use of sulphur mustard, commonly known as mustard gas, in Syria since it agreed to destroy its chemical weapons stockpile, which included sulphur mustard. http://aje.io/9j7f:=:http://www.aljazeera.com/news/2015/11/mustard-gas-syria-fighting-watchdog-151105232221500.html",Peace
Flying into eastern Syria with the Russian Army - our team were the first British TV crew to reach the city of Deir al-Zour after so-called Islamic State militants were driven out.,Peace
We ask analysts five key questions about what to expect next.,Peace
"Meet the Syrian inventor who moved to Germany in the 1970s and transformed textile manufacturing, before retiring to dedicate his life to improving conditions in Syria. â–¶ï¸ Watch the full film: https://aje.io/7t2ld:=:https://www.youtube.com/watch?v=gxDthI_2J-A",Peace
Should the UK take military action against IS in Syria?,Peace
"At least 10 people, including two children, have been killed in suspected Russian air strikes on a market in a Damascus suburb, witnesses told Al Jazeera. http://aje.io/8det:=:http://www.aljazeera.com/news/2015/11/killed-injured-air-strikes-syria-douma-151107085450020.html",Peace
"It's the fifth and final episode of #Hassansjourney. Hassan is an English teacher, who left Syria after being imprisoned and tortured. Thank-you for watching. #Exodus",Peace
"Iran is recruiting Afghan Shia fighters in their tens of thousands to step up the Islamic Republic's efforts in the Syrian war, offering them salaries to join the fight to save the government of President Bashar al-Assad, Iranian media reports. http://aje.io/9svv:=:http://www.aljazeera.com/news/2016/01/iran-foreign-legion-leans-afghan-shia-syria-war-160122130355206.html",Peace
"""ISIL poses a serious threat because of the inability of Arab governments and their fickle European and US allies to curb and contain its advances in Iraq and Syria. This has given a boost to the groupâ€™s supporters."" http://aje.io/ejzn:=:http://www.aljazeera.com/indepth/interactive/2015/05/saudi-analysts-defeat-isil-threat-150528101422855.html",Peace
"#NiceAttack - At least 77 killed as attacker mows lorry into Bastille Day crowds - At least 100 injured - Children among dead - Attacker killed in police shootout - French President Francois Hollande extends state-of-emergency for three months - Hollande says France to strengthen role in Syria, Iraq - Attack was of an ""undeniable terrorist nature"", president says http://aje.io/bdd3:=:http://www.aljazeera.com/news/2016/07/france-truck-plows-crowd-nice-bastille-day-160714214536526.html",Peace
"AJ+ spoke to Google to find out what Syrians are searching for and found that, according to search volumes over the past fortnight, people have been searching for their closest hospitals, how to treat burns at home and how to perform mouth-to-mouth resuscitation.",Peace
"Can al-Qaeda and rebel fighters work together to push for peace in Syria? An alliance of opposition forces has seized control of a second strategic city from government troops in less than a month. On Inside Story, how will the developments influence UN-backed talks scheduled for May? http://aje.io/nt3n:=:http://www.aljazeera.com/programmes/insidestory/2015/04/syrian-rebels-unite-assad-150426193706816.html",Peace
"""The Russians see Mr Assad as a bulwark against extremists; the Americans see Mr Assad as continuing to fan the flames of a sectarian conflict there."" http://aje.io/brav:=:http://www.aljazeera.com/news/2015/09/obama-putin-syria-united-nations-general-assembly-150928202710535.html",Peace
"Turkish forces have entered Kurdish-held areas of northern Syria. As smoke billows from border towns and tens of thousands flee their homes, the BBC's Middle East correspondent Martin Patience explains what's going on. bbc.in/2OCiJmn:=:https://www.bbc.co.uk/news/world-middle-east-50008418",Peace
"Some 388,000 refugees have entered via Greece, and more than 175,000 of the total came from Syria â€” the largest single refugee source as a country.",Peace
"""A strong defeat was dealt to the armed militants and they left the areas of battlefield,"" Hezbollah leader Hassan Nasrallah said in a televised address on Saturday night. ""Around 300 km was retrieved from the control of the militants, most of it is in Syrian territory."" http://aje.io/ppz9:=:http://www.aljazeera.com/news/2015/05/nasrallah-declares-victory-syria-qalamoun-150516192033488.html",Peace
European nations boost border patrols after Turkey said it would no longer prevent refugees from going to Europe as fighting rages in Syria's Idlib province.,Peace
